class,name,price,etl_date,tdp,cooling_method,model
電源供應器,海韻 PRIME TX-1600 ATX3.0(1600W) 雙8/鈦金/全模組/PCIe 5.0/12年保,18490,2024-03-03,1600,,
電源供應器,海韻 VERTEX GX-850(850W) 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/12年保,5490,2024-03-03,850,,
電源供應器,海韻 VERTEX GX-850(850W) 雙8/金牌/全模組/ATX3.0(PCIe 5.0) 任搭享酷幣折扣！,5490,2024-03-03,850,,
電源供應器,海韻 VERTEX GX-1000(1000W) 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/12年保,6490,2024-03-03,1000,,
電源供應器,海韻 VERTEX GX-1000(1000W) 雙8/金牌/全模組/ATX3.0(PCIe 5.0) 任搭享酷幣折扣！,6490,2024-03-03,1000,,
電源供應器,海韻 VERTEX GX-1000(1000W) 白色版 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/12年保,6690,2024-03-03,1000,,
電源供應器,海韻 VERTEX GX-1000(1000W) 櫻花版 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/12年保,6990,2024-03-03,1000,,
電源供應器,海韻 VERTEX GX-1000(1000W) 櫻花版 雙8/金牌/ATX3.0(PCIe 5.0) 任搭享酷幣折扣！,6990,2024-03-03,1000,,
電源供應器,海韻 VERTEX GX-1200(1200W) 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/12年保,7390,2024-03-03,1200,,
電源供應器,海韻 VERTEX GX-1200(1200W) 白色版 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/12年保,7590,2024-03-03,1200,,
電源供應器,海韻 VERTEX PX-850(850W) 雙8/白金/全模組/ATX3.0(PCIe 5.0)/12年保,6090,2024-03-03,850,,
電源供應器,海韻 VERTEX PX-1000(1000W) 雙8/白金/全模組/ATX3.0(PCIe 5.0)/12年保,7090,2024-03-03,1000,,
電源供應器,海韻 VERTEX PX-1200(1200W) 雙8/白金/全模組/ATX3.0(PCIe 5.0)/12年保,8390,2024-03-03,1200,,
電源供應器,全漢 金鋼彈 650W/金牌/全模/全日系/DC-DC/10年保【SFX規格】,2890,2024-03-03,650,,
電源供應器,全漢 金鋼彈 750W 雙8/金牌/全模/全日系/DC-DC/10年保【SFX規格】,3190,2024-03-03,750,,
電源供應器,全漢 金鋼彈 850W 雙8/金牌/全模/全日系/DC-DC/10年保【SFX規格】,3590,2024-03-03,850,,
電源供應器,全漢 金鋼彈 850W ATX3.0(PCIe 5.0) 雙8/金牌/全模/全日系/10年保【SFX規格】,4590,2024-03-03,850,,
電源供應器,全漢 金鋼彈 850W ATX3.0(PCIe 5.0) 白色/雙8/金牌/全模/全日系/10年保【SFX規格】,4690,2024-03-03,850,,
電源供應器,全漢 聖武士 350W/銅牌/全日系/DC-DC/5年保,1090,2024-03-03,350,,
電源供應器,全漢 聖武士 550W 銅牌/全日系/DC-DC/5年保,1590,2024-03-03,550,,
電源供應器,全漢 聖武士 650W 銅牌/全日系/DC-DC/5年保,1790,2024-03-03,650,,
電源供應器,全漢 HEXA 85+ PRO 750W 雙8/銅牌/全日系/ATX3.0/5年保,1990,2024-03-03,750,,
電源供應器,全漢 HEXA 85+ PRO 850W 雙8/銅牌/全日系/ATX3.0/5年保,2290,2024-03-03,850,,
電源供應器,全漢 HYDRO GSM PRO 550W 雙8/金牌/半模/全日系/10年保,2090,2024-03-03,550,,
電源供應器,全漢 HYDRO GSM PRO 650W 雙8/金牌/半模/全日系/10年保,2390,2024-03-03,650,,
電源供應器,全漢 HYDRO GSM PRO 750W 雙8/金牌/半模/全日系/10年保,2790,2024-03-03,750,,
電源供應器,全漢 HYDRO GT PRO 850W ATX3.0(PCIe 5.0) 雙8/金牌/半模/全日系/10年保,3690,2024-03-03,850,,
電源供應器,全漢 HYDRO GT PRO 1000W 雙8/金牌/半模/全日系/10年保,3690,2024-03-03,1000,,
電源供應器,全漢 HYDRO GT PRO 1000W ATX3.0(PCIe 5.0) 雙8/金牌/半模/全日系/10年保,3990,2024-03-03,1000,,
電源供應器,全漢 HYDRO G PRO 650W 雙8/金牌/全模/全日系/工業級防潮塗層/10年保,2790,2024-03-03,650,,
電源供應器,全漢 HYDRO G PRO 750W 雙8/金牌/PCIe 5.0(轉接)/全模/全日系/防潮塗層/10年保,3390,2024-03-03,750,,
電源供應器,全漢 HYDRO G PRO 850W ATX3.0(PCIe 5.0) 雙8/金牌/全模/全日系/防潮塗層/10年保,4090,2024-03-03,850,,
電源供應器,全漢 HYDRO G PRO 1000W ATX3.0(PCIe 5.0) 雙8/金牌/全模/全日系/防潮塗層/10年保,4890,2024-03-03,1000,,
