class,name,price,etl_date,brand,module_Spec,capacity,capacity_value,capacity_unit
記憶體 RAM,UMAX 8GB DDR5-4800/CL40,699,2024-03-03,UMAX,DDR5,8GB,8,GB
記憶體 RAM,UMAX 16GB DDR5-4800/CL40,1259,2024-03-03,UMAX,DDR5,16GB,16,GB
記憶體 RAM,UMAX 32GB DDR5-4800/CL40,2399,2024-03-03,UMAX,DDR5,32GB,32,GB
記憶體 RAM,威剛 8GB DDR5-4800/CL40 (AD5U48008G-S),729,2024-03-03,威剛,DDR5,8GB,8,GB
記憶體 RAM,威剛 8GB DDR5-5600/CL46 (AD5U56008G-S),859,2024-03-03,威剛,DDR5,8GB,8,GB
記憶體 RAM,威剛 16GB DDR5-4800/CL40 (AD5U480016G-S),1299,2024-03-03,威剛,DDR5,16GB,16,GB
記憶體 RAM,威剛 16GB DDR5-5600/CL46 (AD5U560016G-S),1399,2024-03-03,威剛,DDR5,16GB,16,GB
記憶體 RAM,威剛 32GB DDR5-4800/CL40 (AD5U480032G-S),2499,2024-03-03,威剛,DDR5,32GB,32,GB
記憶體 RAM,威剛 32GB DDR5-5600/CL46 (AD5U560032G-S),2699,2024-03-03,威剛,DDR5,32GB,32,GB
記憶體 RAM,金士頓 8GB DDR5-4800/CL40,849,2024-03-03,金士頓,DDR5,8GB,8,GB
記憶體 RAM,金士頓 16GB DDR5-4800/CL40,1450,2024-03-03,金士頓,DDR5,16GB,16,GB
記憶體 RAM,金士頓 16GB DDR5-5600/CL46,1630,2024-03-03,金士頓,DDR5,16GB,16,GB
記憶體 RAM,金士頓 32GB DDR5-4800/CL40,2650,2024-03-03,金士頓,DDR5,32GB,32,GB
記憶體 RAM,金士頓 32GB DDR5-5600/CL46,2780,2024-03-03,金士頓,DDR5,32GB,32,GB
記憶體 RAM,KLEVV(科賦) 16GB DDR5-5600/CL46,1459,2024-03-03,KLEVV,DDR5,16GB,16,GB
記憶體 RAM,十銓ELITE 16GB DDR5 5600/CL46,1299,2024-03-03,十銓,DDR5,16GB,16,GB
記憶體 RAM,美光Micron Crucial 8GB DDR5 4800/CL40,729,2024-03-03,美光Micron,DDR5,8GB,8,GB
記憶體 RAM,美光Micron Crucial 16GB DDR5 4800/CL40,1349,2024-03-03,美光Micron,DDR5,16GB,16,GB
