class,name,price,etl_date,brand,tdp,rpm,type,model
散熱器｜散熱墊｜散熱膏,DEEPCOOL AK400 DIGITAL WH/4導管/高15.6/溫度顯示/TDP:220W【WXHZ】,1790,2024-03-17,DEEPCOOL,220W,Unknown,Unknown,DEEPCOOL AK400 DIGITAL WH/4導管/高15.6/溫度顯示/TDP:220W【WXHZ】
散熱器｜散熱墊｜散熱膏,DEEPCOOL AG620 /6導管(6mm)/雙塔雙扇/高15.7cm/TDP:260W【WXHZ】,1290,2024-03-17,DEEPCOOL,260W,Unknown,Unknown,DEEPCOOL AG620 /6導管(6mm)/雙塔雙扇/高15.7cm/TDP:260W【WXHZ】
散熱器｜散熱墊｜散熱膏,DEEPCOOL AG620 ARGB /6導管(6mm)/雙塔雙扇/高15.7cm/TDP:260W【WXHZ】,1390,2024-03-17,DEEPCOOL,260W,Unknown,Unknown,DEEPCOOL AG620 ARGB /6導管(6mm)/雙塔雙扇/高15.7cm/TDP:260W【WXHZ】
散熱器｜散熱墊｜散熱膏,DEEPCOOL AG620 WH ARGB 白化版/6導管(6mm)/雙塔雙扇/高15.7cm【WXHZ】,1490,2024-03-17,DEEPCOOL,Unknown,Unknown,Unknown,DEEPCOOL AG620 WH ARGB 白化版/6導管(6mm)/雙塔雙扇/高15.7cm【WXHZ】
散熱器｜散熱墊｜散熱膏,DEEPCOOL AK620 DIGITAL /6導管/雙塔雙扇/高16.2/溫度顯示/TDP:260W【WXHZ】,2690,2024-03-17,DEEPCOOL,260W,Unknown,Unknown,DEEPCOOL AK620 DIGITAL /6導管/雙塔雙扇/高16.2/溫度顯示/TDP:260W【WXHZ】
散熱器｜散熱墊｜散熱膏,DEEPCOOL AK620 DIGITAL WH/6導管/雙塔雙扇/高16.2/溫度顯示/TDP:260W【WXHZ】,2790,2024-03-17,DEEPCOOL,260W,Unknown,Unknown,DEEPCOOL AK620 DIGITAL WH/6導管/雙塔雙扇/高16.2/溫度顯示/TDP:260W【WXHZ】
散熱器｜散熱墊｜散熱膏,DEEPCOOL ASSASSIN IV 阿薩辛4 黑/7導管/雙塔反葉扇/高16.4/偏移不干涉【WXHZ】,3290,2024-03-17,DEEPCOOL,Unknown,Unknown,Unknown,DEEPCOOL ASSASSIN IV 阿薩辛4 黑/7導管/雙塔反葉扇/高16.4/偏移不干涉【WXHZ】
散熱器｜散熱墊｜散熱膏,DEEPCOOL ASSASSIN IV 阿薩辛4 白/7導管/雙塔反葉扇/高16.4/偏移不干涉【WXHZ】,3390,2024-03-17,DEEPCOOL,Unknown,Unknown,Unknown,DEEPCOOL ASSASSIN IV 阿薩辛4 白/7導管/雙塔反葉扇/高16.4/偏移不干涉【WXHZ】
散熱器｜散熱墊｜散熱膏,銀欣 XE02-3647S 散熱器 /LGA3647 Square腳位/2U適用/TDP:205W/高6.4【客訂】,1690,2024-03-17,銀欣,205W,Unknown,Unknown,銀欣 XE02-3647S 散熱器 /LGA3647 Square腳位/2U適用/TDP:205W/高6.4【客訂】
散熱器｜散熱墊｜散熱膏,銀欣 XE02-3647N 散熱器 /LGA3647 Narrow腳位/2U適用/TDP:205W/高6.4【客訂】,1690,2024-03-17,銀欣,205W,Unknown,Unknown,銀欣 XE02-3647N 散熱器 /LGA3647 Narrow腳位/2U適用/TDP:205W/高6.4【客訂】
散熱器｜散熱墊｜散熱膏,銀欣 XE04-4677 散熱器 /LGA4677 腳位/4U適用/TDP:270W/高12.6【客訂】,3220,2024-03-17,銀欣,270W,Unknown,Unknown,銀欣 XE04-4677 散熱器 /LGA4677 腳位/4U適用/TDP:270W/高12.6【客訂】
散熱器｜散熱墊｜散熱膏,銀欣 Hydrogon H90 ARGB 下吹式散熱器 /4導管/高4.8/3pin(5V)【WXHZ】,1050,2024-03-17,銀欣,Unknown,Unknown,Unknown,銀欣 Hydrogon H90 ARGB 下吹式散熱器 /4導管/高4.8/3pin(5V)【WXHZ】
散熱器｜散熱墊｜散熱膏,銀欣 Hydrogon D140 ARGB 散熱器 /6導管/高16/雙塔12+14雙扇【WXHZ】,1790,2024-03-17,銀欣,Unknown,Unknown,Unknown,銀欣 Hydrogon D140 ARGB 散熱器 /6導管/高16/雙塔12+14雙扇【WXHZ】
散熱器｜散熱墊｜散熱膏,銀欣 Argon V140 ARGB 散熱器 /4導管/高16/14cm風扇/偏移不干涉【WXHZ】,1290,2024-03-17,銀欣,Unknown,Unknown,氣冷式,銀欣 Argon V140 ARGB 散熱器 /4導管/高16/14cm風扇/偏移不干涉【WXHZ】
散熱器｜散熱墊｜散熱膏,酷碼 LGA1700 空冷專用扣具(A) (Hyper 212 EVO V2 / MasterAir MA612 Stealth),99,2024-03-17,酷碼,Unknown,Unknown,Unknown,酷碼 LGA1700 空冷專用扣具(A) (Hyper 212 EVO V2 / MasterAir MA612 Stealth)
散熱器｜散熱墊｜散熱膏,酷碼 XDream P115 Intel專用散熱器(RR-X115)/高度4.7cm/TDP:65W【W】,290,2024-03-17,酷碼,65W,Unknown,Unknown,酷碼 XDream P115 Intel專用散熱器(RR-X115)/高度4.7cm/TDP:65W【W】
散熱器｜散熱墊｜散熱膏,酷碼 Hyper T20 散熱器 2導管/直觸式/高度11.7cm【WX】,490,2024-03-17,酷碼,Unknown,Unknown,Unknown,酷碼 Hyper T20 散熱器 2導管/直觸式/高度11.7cm【WX】
散熱器｜散熱墊｜散熱膏,酷碼 Hyper H411R (白光) 散熱器/4導管/直觸式/高度13.6/TDP:100W【WXHZ】,690,2024-03-17,酷碼,100W,Unknown,Unknown,酷碼 Hyper H411R (白光) 散熱器/4導管/直觸式/高度13.6/TDP:100W【WXHZ】
散熱器｜散熱墊｜散熱膏,酷碼 Hyper 212 Spectrum V3 散熱器/4導管/高15.2/自帶ARGB(可控)【WXHZ】,690,2024-03-17,酷碼,Unknown,Unknown,Unknown,酷碼 Hyper 212 Spectrum V3 散熱器/4導管/高15.2/自帶ARGB(可控)【WXHZ】
散熱器｜散熱墊｜散熱膏,酷碼 Hyper 212 Black 散熱器/黑化版/4導管/高15.2【WXHZ】,890,2024-03-17,酷碼,Unknown,Unknown,Unknown,酷碼 Hyper 212 Black 散熱器/黑化版/4導管/高15.2【WXHZ】
散熱器｜散熱墊｜散熱膏,酷碼 Hyper 212 Black X DUO 散熱器/黑化版/4導管/高15.2/雙風扇【WXHZ】,1090,2024-03-17,酷碼,Unknown,Unknown,氣冷式,酷碼 Hyper 212 Black X DUO 散熱器/黑化版/4導管/高15.2/雙風扇【WXHZ】
散熱器｜散熱墊｜散熱膏,酷碼 Hyper 212 Halo Black 散熱器/黑化版/4導管/高15.4/自帶ARGB(可控)【WXHZ】,1190,2024-03-17,酷碼,Unknown,Unknown,Unknown,酷碼 Hyper 212 Halo Black 散熱器/黑化版/4導管/高15.4/自帶ARGB(可控)【WXHZ】
散熱器｜散熱墊｜散熱膏,酷碼 Hyper 212 Halo White 散熱器/白化版/4導管/高15.4/自帶ARGB(可控)【WXHZ】,1190,2024-03-17,酷碼,Unknown,Unknown,Unknown,酷碼 Hyper 212 Halo White 散熱器/白化版/4導管/高15.4/自帶ARGB(可控)【WXHZ】
散熱器｜散熱墊｜散熱膏,酷碼 Hyper 620S 散熱器/6導管/雙塔雙扇/高15.5/自帶ARGB(可控)【WXHZ】,1290,2024-03-17,酷碼,Unknown,Unknown,Unknown,酷碼 Hyper 620S 散熱器/6導管/雙塔雙扇/高15.5/自帶ARGB(可控)【WXHZ】
散熱器｜散熱墊｜散熱膏,酷碼 Hyper 622 Halo Black /黑化版/6導管/雙塔雙扇/高15.7/自帶ARGB(可控)【WXHZ】,1690,2024-03-17,酷碼,Unknown,Unknown,Unknown,酷碼 Hyper 622 Halo Black /黑化版/6導管/雙塔雙扇/高15.7/自帶ARGB(可控)【WXHZ】
散熱器｜散熱墊｜散熱膏,酷碼 Hyper 622 Halo White /白化版/6導管/雙塔雙扇/高15.7/自帶ARGB(可控)【WXHZ】,1690,2024-03-17,酷碼,Unknown,Unknown,Unknown,酷碼 Hyper 622 Halo White /白化版/6導管/雙塔雙扇/高15.7/自帶ARGB(可控)【WXHZ】
散熱器｜散熱墊｜散熱膏,酷碼 MasterAir MA824 Stealth 黑化版/8導管/雙塔雙扇/高16.6/記憶體限高4.2【WXHZ】,3290,2024-03-17,酷碼,Unknown,Unknown,Unknown,酷碼 MasterAir MA824 Stealth 黑化版/8導管/雙塔雙扇/高16.6/記憶體限高4.2【WXHZ】
散熱器｜散熱墊｜散熱膏,Scythe 虎徹3(SCKTT-3000) 12cm風扇/4導管(6mm)/高15.4【WXHZ】,990,2024-03-17,Scythe,Unknown,Unknown,氣冷式,Scythe 虎徹3(SCKTT-3000) 12cm風扇/4導管(6mm)/高15.4【WXHZ】
散熱器｜散熱墊｜散熱膏,Scythe 無限6(SCMG-6000) 12cm風扇/6導管(6mm)/高15.4/偏移不干涉【WXHZ】,1190,2024-03-17,Scythe,Unknown,Unknown,氣冷式,Scythe 無限6(SCMG-6000) 12cm風扇/6導管(6mm)/高15.4/偏移不干涉【WXHZ】
散熱器｜散熱墊｜散熱膏,Scythe 風魔3(SCFM-3000) /6導管(6mm)/雙塔雙扇/高15.4/偏移不干涉【WXHZ】,1590,2024-03-17,Scythe,Unknown,Unknown,Unknown,Scythe 風魔3(SCFM-3000) /6導管(6mm)/雙塔雙扇/高15.4/偏移不干涉【WXHZ】
散熱器｜散熱墊｜散熱膏,喬思伯 HX4170D 黑 下吹式 /黑化版/4導管/高4.53/回流焊/TDP:170【WXZ】,1190,2024-03-17,喬思伯,Unknown,Unknown,Unknown,喬思伯 HX4170D 黑 下吹式 /黑化版/4導管/高4.53/回流焊/TDP:170【WXZ】
散熱器｜散熱墊｜散熱膏,喬思伯 PISA A5 灰 散熱器/5導管/高15.3/ARGB/底部輔助鰭片/TDP:265【WXHZ】,899,2024-03-17,喬思伯,Unknown,Unknown,Unknown,喬思伯 PISA A5 灰 散熱器/5導管/高15.3/ARGB/底部輔助鰭片/TDP:265【WXHZ】
散熱器｜散熱墊｜散熱膏,喬思伯 PISA A5 白 散熱器/5導管/高15.3/ARGB/底部輔助鰭片/TDP:265【WXHZ】,899,2024-03-17,喬思伯,Unknown,Unknown,Unknown,喬思伯 PISA A5 白 散熱器/5導管/高15.3/ARGB/底部輔助鰭片/TDP:265【WXHZ】
散熱器｜散熱墊｜散熱膏,喬思伯 CR1400 EVO 黑 散熱器/4導管/高13/9cm風扇/TDP:180【WXHZ】,499,2024-03-17,喬思伯,Unknown,Unknown,氣冷式,喬思伯 CR1400 EVO 黑 散熱器/4導管/高13/9cm風扇/TDP:180【WXHZ】
散熱器｜散熱墊｜散熱膏,喬思伯 CR1400 V2 黑 散熱器/4導管/高13.3/無限鏡上蓋/9cm風扇/TDP:180【WXHZ】,699,2024-03-17,喬思伯,Unknown,Unknown,氣冷式,喬思伯 CR1400 V2 黑 散熱器/4導管/高13.3/無限鏡上蓋/9cm風扇/TDP:180【WXHZ】
散熱器｜散熱墊｜散熱膏,喬思伯 CR1400 V2 白 散熱器/4導管/高13.3/無限鏡上蓋/9cm風扇/TDP:180【WXHZ】,699,2024-03-17,喬思伯,Unknown,Unknown,氣冷式,喬思伯 CR1400 V2 白 散熱器/4導管/高13.3/無限鏡上蓋/9cm風扇/TDP:180【WXHZ】
散熱器｜散熱墊｜散熱膏,喬思伯 CR1400 DV2 黑 散熱器/6導管/高13.6/Mini雙塔雙扇/ARGB/TDP:230【WXHZ】,999,2024-03-17,喬思伯,Unknown,Unknown,Unknown,喬思伯 CR1400 DV2 黑 散熱器/6導管/高13.6/Mini雙塔雙扇/ARGB/TDP:230【WXHZ】
散熱器｜散熱墊｜散熱膏,喬思伯 CR1400 DV2 白 散熱器/6導管/高13.6/Mini雙塔雙扇/ARGB/TDP:230【WXHZ】,999,2024-03-17,喬思伯,Unknown,Unknown,Unknown,喬思伯 CR1400 DV2 白 散熱器/6導管/高13.6/Mini雙塔雙扇/ARGB/TDP:230【WXHZ】
散熱器｜散熱墊｜散熱膏,喬思伯 CR3000 黑 散熱器/7導管/高16/雙塔雙扇/ARGB/TDP:260【WXHZ】,1390,2024-03-17,喬思伯,Unknown,Unknown,Unknown,喬思伯 CR3000 黑 散熱器/7導管/高16/雙塔雙扇/ARGB/TDP:260【WXHZ】
散熱器｜散熱墊｜散熱膏,喬思伯 HX5230 散熱器/全黑化/5導管/高15.8/TDP:230【WXHZ】,1190,2024-03-17,喬思伯,Unknown,Unknown,Unknown,喬思伯 HX5230 散熱器/全黑化/5導管/高15.8/TDP:230【WXHZ】
散熱器｜散熱墊｜散熱膏,喬思伯 HX6250 黑 散熱器/全黑化/6導管/高16.2/偏移不干涉/TDP:250【WXHZ】,1690,2024-03-17,喬思伯,Unknown,Unknown,Unknown,喬思伯 HX6250 黑 散熱器/全黑化/6導管/高16.2/偏移不干涉/TDP:250【WXHZ】
散熱器｜散熱墊｜散熱膏,喬思伯 HX7280 散熱器/全黑化/7導管/高16/雙塔(風扇2+1)/TDP:280【WXHZ】,2490,2024-03-17,喬思伯,Unknown,Unknown,氣冷式,喬思伯 HX7280 散熱器/全黑化/7導管/高16/雙塔(風扇2+1)/TDP:280【WXHZ】
