class,name,price,etl_date,model,size,brand,company,cut_name
主機板 MB,華碩 PRIME B760M-A WIFI-CSM(M-ATX/Realtek 2.5Gb+無線/註四年)10相*優惠到3/31,4690,2024-03-03,M-A,ATX,華碩,華碩,華碩 PRIME B760M-A WIFI-CSM
主機板 MB,【狂】華碩 PRIME B760M-A WIFI-CSM + Intel i3-14100【4核/8緒】-至3/31止,9190,2024-03-03,M-A,Unknown,華碩,華碩,華碩 PRIME B760M-A WIFI-CSM + Intel i3-14100
主機板 MB,【狂】華碩 PRIME B760M-A WIFI-CSM + Intel i5-14400【10核/16緒】-至3/31止,12090,2024-03-03,M-A,Unknown,華碩,華碩,華碩 PRIME B760M-A WIFI-CSM + Intel i5-14400
主機板 MB,【狂】華碩 PRIME B760M-A WIFI-CSM + Intel i7-14700【20核/28緒】-至3/31止,17590,2024-03-03,M-A,Unknown,華碩,華碩,華碩 PRIME B760M-A WIFI-CSM + Intel i7-14700
主機板 MB,華碩 TUF GAMING B760M-PLUS(M-ATX/Realtek2.5Gb/註五年)12+1相*獨家供應,4990,2024-03-03,M-PLUS,ATX,華碩,華碩,華碩 TUF GAMING B760M-PLUS
主機板 MB,華碩 TUF GAMING B760M-PLUS II(M-ATX/Realtek2.5Gb/註五年)12+1+1相,5290,2024-03-03,M-PLUS,ATX,華碩,華碩,華碩 TUF GAMING B760M-PLUS II
主機板 MB,華碩 TUF GAMING B760M-PLUS WIFI II(M-ATX/Realtek 2.5Gb+無線/註五年)12+1相,5690,2024-03-03,M-PLUS,ATX,華碩,華碩,華碩 TUF GAMING B760M-PLUS WIFI II
主機板 MB,【狂】華碩 TUF GAMING B760M-PLUS WIFI II + Intel i5-14400【10核/16緒】至3/31止,13190,2024-03-03,M-PLUS,Unknown,華碩,華碩,華碩 TUF GAMING B760M-PLUS WIFI II + Intel i5-14400
主機板 MB,【狂】華碩 TUF GAMING B760M-PLUS WIFI II + Intel i7-13700【16核/24緒】至3/31止,17490,2024-03-03,M-PLUS,Unknown,華碩,華碩,華碩 TUF GAMING B760M-PLUS WIFI II + Intel i7-13700
主機板 MB,【狂】華碩 TUF GAMING B760M-PLUS WIFI II + Intel i7-14700【20核/28緒】至3/31止,18790,2024-03-03,M-PLUS,Unknown,華碩,華碩,華碩 TUF GAMING B760M-PLUS WIFI II + Intel i7-14700
主機板 MB,華碩 TUF GAMING B760M-BTF WIFI 背插(M-ATX/R2.5Gb+無線/註五年)12+1相-3/31止,5490,2024-03-03,M-BTF,ATX,華碩,華碩,華碩 TUF GAMING B760M-BTF WIFI
主機板 MB,華碩 TUF GAMING B760-PLUS WIFI(ATX/Realtek 2.5Gb+無線)12+1相*優惠到3/31,5990,2024-03-03,Unknown,ATX,華碩,華碩,華碩 TUF GAMING B760-PLUS WIFI
主機板 MB,華碩 ProArt B760-CREATOR WIFI(ATX/Realtek 2.5Gb+Intel 1Gb+無線)12+1相,7290,2024-03-03,Unknown,ATX,華碩,華碩,華碩 ProArt B760-CREATOR WIFI
主機板 MB,華碩 ROG STRIX B760-I GAMING WIFI(Mini ITX/Intel 2.5Gb+無線/註五年)8+1相,6590,2024-03-03,Unknown,ITX,華碩,華碩,華碩 ROG STRIX B760-I GAMING WIFI
主機板 MB,華碩 ROG STRIX B760-G GAMING WIFI(M-ATX/Intel 2.5Gb+無線/註五年)12+1相,6790,2024-03-03,M-ATX,ATX,華碩,華碩,華碩 ROG STRIX B760-G GAMING WIFI
主機板 MB,華碩 ROG STRIX B760-A GAMING WIFI(ATX/Intel 2.5Gb+無線/註五年)12+1相,7290,2024-03-03,Unknown,ATX,華碩,華碩,華碩 ROG STRIX B760-A GAMING WIFI
